tp_record_share;ke;ki;id_polizza_exp;id_polizza_inviante;id_polizza_ricevente;id_titolo_invio;id_titolo_inviante;id_titolo_ricevente;id_polizza_invio;compagnia_ania;compagnia_exp;agenzia;numero_polizza_cmp;numero_polizza_cmp_delegataria;progressivo;repertorio_polizza;ramo;effetto_titolo;fl_aggiorna_copertura;data_scadenza_emesso;tipo_titolo_compagnia;tipo_titolo_share;progressivo_titolo;tipo_polizza;frazionamento;stato_share;stato_cmp;id_titolo_exp;id_incasso_exp;dt_pag_cliente;dt_competenza_contabile;numero_foglio_cassa;data_registrazione_fc;data_foglio_cassa;riga_foglio_cassa;valuta_share;tipo_coass;ns_quota;ns_quota_premio;quota_delegataria_sinistri;bonus_malus_universale;bonus_malus_interna;tipo_premi_delega;netto_totale;diritti_totale;accessori_totale;imponibile_totale;antiracket_totale;ssn_totale;tasse_totale;lordo_totale;interessi_frazionamento;sconto_applicato_1;sconto_applicato_2;provvigioni_totale;provvigioni_acquisto_totale;provvigioni_acquisto_variabile;provvigioni_acquisto_fissa;provvigioni_incasso_totale;provvigioni_incasso_variabile;provvigioni_incasso_fissa;provvigioni_acquisto_diritti;provvigioni_incasso_diritti;collaboratore_1;provv_tot_c1;provv_acq_c1;provv_acq_parte_fissa_c1;provv_acq_parte_variabile_c1;provv_acq_parte_diritti_c1;provv_inc_c1;provv_inc_parte_fissa_c1;provv_inc_parte_variabile_c1;provv_inc_parte_diritti_c1;collaboratore_2;provv_tot_c2;provv_acq_c2;provv_acq_parte_fissa_c2;provv_acq_parte_variabile_c2;provv_acq_parte_diritti_c2;provv_inc_c2;provv_inc_parte_fissa_c2;provv_inc_parte_variabile_c2;provv_inc_parte_diritti_c2;collaboratore_3;provv_tot_c3;provv_acq_c3;provv_acq_parte_fissa_c3;provv_acq_parte_variabile_c3;provv_acq_parte_diritti_c3;provv_inc_c3;provv_inc_parte_fissa_c3;provv_inc_parte_variabile_c3;provv_inc_parte_diritti_c3;collaboratore_4;provv_tot_c4;provv_acq_c4;provv_acq_parte_fissa_c4;provv_acq_parte_variabile_c4;provv_acq_parte_diritti_c4;provv_inc_c4;provv_inc_parte_fissa_c4;provv_inc_parte_variabile_c4;provv_inc_parte_diritti_c4;collaboratore_5;prodotto_cmp;sottoprodotto_cmp;fl_incasso_diretto;fl_incasso_subagente;indicatore_incasso_subagente;fondo_mutua_totale;altre_spese_totale;mezzo_pagamento_cmp;mezzo_pag_share;codice_massimale_share;massimale_unico;massimale_sinistro;massimale_cose;massimale_persone;valore_veicolo;flessibilita_rca;tipo_tariffa_rca_share;aliquota_tassa_rca;data_annullamento_titolo;motivo_annullamento_titolo_cmp;data_contenzioso;cig;cup;rischio_cmp;utente_incasso;numero_appendice;importo_scatola_nera;giorni_mora;data_scadenza_mora;binder;importo_parcella;data_emissione_regolazione;data_effetto_copertura_regolazione;data_scadenza_copertura_regolazione;libro_matricola;numero_applicazione_lm;id_fornitore_inviante;id_fornitore_ricevente;id_titolo_cmp;timestamp_record
40;;;289400520;OWEB-23774-289400520;;949387630;OWEB-23774-949387630;;289400520;5;GEN;;184643235;;0;;3N;22/06/2026;N;;PN;PN;0;2;1;P;P;949387630;;22/06/2026;;;;22/06/2026;0;EUR;1;10000;0;0;0;;T;138,59;0,00;0,00;138,59;0,06;14,03;31,41;170,0;0,00;0,00;0,00;13,79;13,79;0,00;0,00;0,00;0,00;0,00;0,00;0,00;024;6,24;6,24;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;N;;0,00;0,00;AS;;;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;;;;;;;;;0,00;;;;0,00;;;;N;;;;GEN-2004017VMIDJ8JEF;
40;;;289400521;OWEB-23774-289400521;;949387631;OWEB-23774-949387631;;289400521;5;GEN;;184643236;;0;;3N;25/06/2026;N;;PN;PN;0;2;9;P;P;949387631;;22/06/2026;;;;22/06/2026;0;EUR;1;10000;0;0;0;;T;130,08;0,00;0,00;130,08;0,00;13,66;29,92;160,0;0,00;0,00;0,00;12,7;12,7;0,00;0,00;0,00;0,00;0,00;0,00;0,00;024;5,85;5,85;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;N;;0,00;0,00;AS;;;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;;;;;;;;;0,00;;;;0,00;;;;N;;;;GEN-2004017VMJKM7L4D;
40;;;289400522;OWEB-23774-289400522;;949387632;OWEB-23774-949387632;;289400522;5;GEN;;184643237;;0;;3N;22/06/2026;N;;PN;PN;0;2;1;P;P;949387632;;22/06/2026;;;;22/06/2026;0;EUR;1;10000;0;0;0;;T;131,71;0,00;0,00;131,71;0,00;13,83;30,29;162,0;0,00;0,00;0,00;12,86;12,86;0,00;0,00;0,00;0,00;0,00;0,00;0,00;021;12,86;12,86;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;N;;0,00;0,00;PS;;;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;;;;;;;;;0,00;;;;0,00;;;;N;;;;GEN-2004017VMKKO55OX;
40;;;289400523;OWEB-23774-289400523;;949387633;OWEB-23774-949387633;;289400523;5;GEN;;184643238;;0;;3N;18/06/2026;N;;PN;PN;0;2;1;P;P;949387633;;18/06/2026;;;;22/06/2026;0;EUR;1;10000;0;0;0;;T;465,83;0,00;0,00;465,83;0,72;35,44;94,17;560,0;0,00;0,00;0,00;56,7;56,7;0,00;0,00;0,00;0,00;0,00;0,00;0,00;076;39,69;39,69;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;N;;0,00;0,00;BN;;;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;;;;;;;;;0,00;;;;0,00;;;;N;;;;GEN-2004017VMKLM2VP5;
40;;;289400524;OWEB-23774-289400524;;949387634;OWEB-23774-949387634;;289400524;5;GEN;;184643239;;0;;3N;08/06/2026;N;;PS;PS;0;2;1;P;P;949387634;;22/06/2026;;;;22/06/2026;0;EUR;1;10000;0;0;0;;T;461,13;0,00;0,00;461,13;0,02;44,14;101,87;563,0;0,00;0,00;0,00;41,09;41,09;0,00;0,00;0,00;0,00;0,00;0,00;0,00;076;28,76;28,76;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;N;;0,00;0,00;SC;;;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;;;;;;;;;0,00;;;;0,00;;;;N;;;;GEN-2004017VML125YJT;
40;;;289400525;OWEB-23774-289400525;;949387635;OWEB-23774-949387635;;289400525;5;GEN;;184643240;;0;;3N;22/06/2026;N;;PS;PS;0;2;1;P;P;949387635;;22/06/2026;;;;22/06/2026;0;EUR;1;10000;0;0;0;;T;5,84;0,00;0,00;5,84;0,02;0,42;1,16;7,0;0,00;0,00;0,00;0,71;0,71;0,00;0,00;0,00;0,00;0,00;0,00;0,00;024;0,26;0,26;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;N;;0,00;0,00;AS;;;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;;;;;;;;;0,00;;;;0,00;;;;N;;;;GEN-2004017VMRP59E0L;
40;;;289400526;OWEB-23774-289400526;;949387636;OWEB-23774-949387636;;289400526;5;GEN;;184643241;;0;;3N;22/06/2026;N;;PS;PS;0;2;1;P;P;949387636;;22/06/2026;;;;23/06/2026;0;EUR;1;10000;0;0;0;;T;413,35;0,00;0,00;413,35;4,64;0,00;62,65;476,0;0,00;0,00;0,00;43,17;43,17;0,00;0,00;0,00;0,00;0,00;0,00;0,00;079;30,22;30,22;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;N;;0,00;0,00;PS;;;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;;;;;;;;;0,00;;;;0,00;;;;N;;;;GEN-2004017VMT6IJTN7;
40;;;288725060;OWEB-23774-288725060;;947265876;OWEB-23774-947265876;;288725060;;GPM;;116950578;;0;;AUT;27/06/2026;N;;PN;PN;0;2;1;P;P;947265876;;22/06/2026;;;;22/06/2026;0;EUR;1;10000;0;0;0;;T;162,12;0,00;0,05;162,17;0,00;16,5;36,83;199,0;0,00;0,00;0,00;13,41;13,39;0,00;0,00;0,02;0,00;0,00;0,00;0,00;021;324,34;162,17;0,00;0,00;0,00;162,17;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;N;;0,00;0,00;BN;;;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;;;;;;;;;0,00;;;;0,00;;;;N;;;;OWEB-23901-947192450;
40;;;286880866;OWEB-23774-286880866;;941000330;OWEB-23774-941000330;;286880866;0127;UCA-33300;;1001152975;;0;;;18/06/2026;N;;QZ;QZ;0;1;1;A;A;941000330;;;;;;;0;EUR;1;10000;0;0;0;;T;74,64;0,00;0,00;74,64;0,00;0,00;9,36;84,0;0,00;0,00;0,00;22,4;0,00;0,00;0,00;22,4;0,00;0,00;0,00;0,00;024;3,36;0,00;0,00;0,00;0,00;3,36;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;N;;0,00;0,00;;;;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;;;;;;;;;0,00;15;03/07/2026;;0,00;;;;N;;;;UCA-000100000058222268;
40;;;286880866;OWEB-23774-286880866;;949409904;OWEB-23774-949409904;;286880866;0127;UCA-33300;;1001152975;;0;;;18/06/2026;N;;AV;AV;0;1;1;P;P;949409904;;18/06/2026;;;;18/06/2026;0;EUR;1;10000;0;0;0;;T;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;024;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;N;;0,00;0,00;;;;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;;;;;;;;;0,00;;;;0,00;;;;N;;;;UCA-000100000058552962;
40;;;286881123;OWEB-23774-286881123;;949409905;OWEB-23774-949409905;;286881123;0127;UCA-33300;;1001797290;;0;;;22/06/2026;N;;AV;AV;0;1;1;P;P;949409905;;22/06/2026;;;;22/06/2026;0;EUR;1;10000;0;0;0;;T;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;024;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;N;;0,00;0,00;;;;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;;;;;;;;;0,00;;;;0,00;;;;N;;;;UCA-000100000058554468;
40;;;286880867;OWEB-23774-286880867;;941000347;OWEB-23774-941000347;;286880867;0127;UCA-33300;;1000800976;;0;;;20/06/2026;N;;QZ;QZ;0;1;1;P;P;941000347;;22/06/2026;;34;;22/06/2026;0;EUR;1;10000;0;0;0;;T;82,65;0,00;0,00;82,65;0,00;0,00;10,35;93,0;0,00;0,00;0,00;24,8;0,00;0,00;0,00;24,8;0,00;0,00;0,00;0,00;024;3,72;0,00;0,00;0,00;0,00;3,72;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;N;;0,00;0,00;AL;;;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;;;;;;;;;0,00;15;05/07/2026;;0,00;;;;N;;;;UCA-000100000058222417;
