tp_record_share;id_polizza_exp;id_polizza_invio;id_polizza_inviante;id_polizza_ricevente;compagnia_ania;compagnia_exp;agenzia;numero_polizza_cmp;progressivo;repertorio;tipo_codice_veicolo;codice_veicolo;data_immatricolazione;guida_esperta;settore_rca_share;classe_rca_share;uso_rca_share;trasportati_rca_share;estensioni_rca_share;limitazioni_rca_share;rimorchio_rca_share;tipo_targa_share;targa;telaio;marca;modello;tipo_tariffa_rca_share;bonus_malus_universale;bonus_malus_interna;tp_alimentazione_share;cavalli_fiscali;quintali;posti;cilindrata;peso_posti_rim;kw;codice_massimale_share;massimale_unico;massimale_sinistro;massimale_cose;massimale_persone;id_anagrafico_intestatariopra;flessibilita_rca;airbag_passeggero;codice_convenzione;abs;franchigia_bm;pejus;valore_veicolo;valore_accessori;fl_indicizzazione;indice_base;indice_istat;premio_base_indicizzazione;tariffa_vita;descrizione_tariffa_vita;massa;regolaz_premio;dt_pross_regolazione;codice_causale_regolazione_cmp;gg_comunicazione_dati_regolazione;marca_scatola_nera;modello_scatola_nera;natanti_numero_motori;natanti_stazza;natanti_lunghezza_fuori_tutto;natanti_velocita_massima;natanti_immatricolazione_estera;natanti_uso_diporto;libro_matricola;numero_applicazione_lm;data_prossima_qz;id_beneficiario_vita_exp;id_beneficiario_inviante;id_beneficiario_ricevente;id_assicurato_vita_exp;id_assicurato_inviante;id_assicurato_ricevente;tipo_polizza_vita_share;capitale_caso_morte;capitale_iniziale;capitale_attuale;capitale_rivalutato;benefici_mutualita;data_ultima_rivalutazione;totale_quote;finanziamento;visita_medica;adeguamento_capitale;durata_pag_premi;cumulo_versamenti;cumulo_riscatti;valore_polizza;data_valore_polizza;eta_minima;eta_massima;versamento_minimo;versamento_massimo;costi;data_rescindibilita;percentuale_detraibilita;descrizione_re;patrimonio;totale_iscritti_attivi;totale_nuovi_iscritti;data_iscrizione_nuovi_iscritti;riparazione_convenzionata;codice_aggregazione;id_mezzo_exp;ragione_sociale_cassa;partita_iva_cassa;timestamp_record
21;241951163;241951163;OWEB-23774-241951163;;5;GEN;;180394881;0;;0;052657;07/1999;N;4;3;3;0;;;;1;BF021CF;;NISSAN;PICK-UP 2.5 TD 4 PORTE;;1;;DIESEL;0;0;0;0;0;0;;0,00;8000000,00;8000000,00;8000000,00;;0,00;N;;;0,00;;;;;0,00;0,00;0,00;;;0;N;;;0;;;0;0;0;0;;;N;;;;;;;;;;0,00;0,00;0,00;0,00;;;0,00;;;;0;0,00;0,00;0,00;;0;0;0,00;0,00;0,00;;0,00;;0,00;0;0;;N;;;;;
21;259326551;259326551;OWEB-23774-259326551;;5;GEN;;182260074;0;;0;099528;12/2023;N;1;1;1;0;;;;1;GS383SM;;LAND ROVER;RANGE ROVER SPORT 3;;13;26;DIESEL;26;0;0;2993;0;183;;0,00;8000000,00;8000000,00;8000000,00;;0,00;N;;;0,00;;;;;0,00;0,00;0,00;;;0;N;;;0;;;0;0;0;0;;;N;;;;;;;;;;0,00;0,00;0,00;0,00;;;0,00;;;;0;0,00;0,00;0,00;;0;0;0,00;0,00;0,00;;0,00;;0,00;0;0;;N;;;;;
21;271356945;271356945;OWEB-23774-271356945;;5;GEN;;183629247;0;;0;062526;07/2005;N;4;3;2;0;;;;1;CW279AN;;RENAULT;MASTER T35/140 3.0 DCI;;13;;DIESEL;0;0;0;0;0;0;;0,00;8000000,00;8000000,00;8000000,00;;0,00;N;;;0,00;;;;;0,00;0,00;0,00;;;0;N;;;0;;;0;0;0;0;;;N;;;;;;;;;;0,00;0,00;0,00;0,00;;;0,00;;;;0;0,00;0,00;0,00;;0;0;0,00;0,00;0,00;;0,00;;0,00;0;0;;N;;;;;
21;246239370;246239370;OWEB-23774-246239370;;5;GEN;;182259197;0;;0;;09/2006;N;0;0;0;0;;;;2;SO011970;;GENEROSA;N 4;;1;;;0;0;0;0;0;0;;0,00;15000000,00;15000000,00;15000000,00;;0,00;N;;;0,00;;;;;0,00;0,00;0,00;;;0;N;;;0;;;0;0;0;0;;;N;;;;;;;;;;0,00;0,00;0,00;0,00;;;0,00;;;;0;0,00;0,00;0,00;;0;0;0,00;0,00;0,00;;0,00;;0,00;0;0;;N;;;;;
21;251714192;251714192;OWEB-23774-251714192;;5;GEN;;182259623;0;;0;;06/2020;N;4;3;3;0;;;;1;FZ873RY;;MERCEDES;BENZ 963;;13;;DIESEL;0;0;0;0;0;0;;0,00;26000000,00;26000000,00;26000000,00;;0,00;N;;;0,00;;;;;0,00;0,00;0,00;;;0;N;;;0;;;0;0;0;0;;;N;;;;;;;;;;0,00;0,00;0,00;0,00;;;0,00;;;;0;0,00;0,00;0,00;;0;0;0,00;0,00;0,00;;0,00;;0,00;0;0;;N;;;;;
21;258493456;258493456;OWEB-23774-258493456;;5;GEN;;182260024;0;;0;;11/2024;N;4;41;2;0;;;;1;XA241WA;;OMC;UK 1500;;14;;;0;0;0;0;0;0;;0,00;15000000,00;15000000,00;15000000,00;;0,00;N;;;0,00;;;;;0,00;0,00;0,00;;;0;N;;;0;;;0;0;0;0;;;N;;;;;;;;;;0,00;0,00;0,00;0,00;;;0,00;;;;0;0,00;0,00;0,00;;0;0;0,00;0,00;0,00;;0,00;;0,00;0;0;;N;;;;;
21;258493457;258493457;OWEB-23774-258493457;;5;GEN;;182260025;0;;0;;11/2024;N;4;41;2;0;;;;1;XA242WA;;TECNOGEN;;;14;;;0;0;0;0;0;0;;0,00;15000000,00;15000000,00;15000000,00;;0,00;N;;;0,00;;;;;0,00;0,00;0,00;;;0;N;;;0;;;0;0;0;0;;;N;;;;;;;;;;0,00;0,00;0,00;0,00;;;0,00;;;;0;0,00;0,00;0,00;;0;0;0,00;0,00;0,00;;0,00;;0,00;0;0;;N;;;;;
21;268847016;268847016;OWEB-23774-268847016;;5;GEN;;183629205;0;;0;052657;07/1999;N;4;3;2;0;;;;1;BF021CF;;NISSAN;PICK-UP 2.5 TD 4 PORTE;;1;;DIESEL;0;0;0;0;0;0;;0,00;8000000,00;8000000,00;8000000,00;;0,00;N;;;0,00;;;;;0,00;0,00;0,00;;;0;N;;;0;;;0;0;0;0;;;N;;;;;;;;;;0,00;0,00;0,00;0,00;;;0,00;;;;0;0,00;0,00;0,00;;0;0;0,00;0,00;0,00;;0,00;;0,00;0;0;;N;;;;;
21;276997983;276997983;OWEB-23774-276997983;;5;GEN;;183629641;0;;0;081745;04/2010;N;1;1;1;0;;;;1;EC750DS;;PEUGEOT;3008 1.6 HDI 110CV CAM;;1;01;DIESEL;17;0;0;1560;0;80;;0,00;12000000,00;12000000,00;12000000,00;;0,00;N;;;0,00;;2200;;;0,00;0,00;0,00;;;0;N;;;0;;;0;0;0;0;;;N;;;;;;;;;;0,00;0,00;0,00;0,00;;;0,00;;;;0;0,00;0,00;0,00;;0;0;0,00;0,00;0,00;;0,00;;0,00;0;0;;N;;;;;
21;278475976;278475976;OWEB-23774-278475976;;5;GEN;;183629736;0;;0;099528;12/2023;N;1;1;1;0;;;;1;GS383SM;;LAND ROVER;RANGE ROVER SPORT 3;;12;25;DIESEL;26;0;0;2993;0;183;;0,00;12000000,00;12000000,00;12000000,00;;0,00;N;;;0,00;;;;;0,00;0,00;0,00;;;0;N;;;0;;;0;0;0;0;;;N;;;;;;;;;;0,00;0,00;0,00;0,00;;;0,00;;;;0;0,00;0,00;0,00;;0;0;0,00;0,00;0,00;;0,00;;0,00;0;0;;N;;;;;
